"presenters" "clarity" "methods" "graphics" "delivery"
"1" "group6" 9 9 7 7
"2" "group2" 10 7 10 9
"3" "group5" 5 8 9 8
"4" "group3" 9 7 9 10
"5" "group3" 10 9 9 10
"6" "group2" 10 2 9 7
"7" "group2" 9 10 7 9
"8" "group3" 10 9 7 9
"9" "group1" 8 8 5 10
"10" "group1" 8 9 9 9
"11" "group4" 8 10 5 10
"12" "group6" 10 9 6 9
"13" "group5" 10 7 10 10
"14" "group1" 10 8 9 8
"15" "group6" 9 9 8 10
"16" "group4" 10 10 5 10
"17" "group6" 10 6 10 6
"18" "group1" 9 10 10 9
"19" "group6" 8 7 10 9
"20" "group4" 7 9 8 6
"21" "group1" 8 9 9 9
"22" "group5" 10 10 8 8
"23" "group5" 10 6 8 10
"24" "group4" 9 10 9 8
"25" "group3" 10 8 6 10
"26" "group1" 7 10 10 10
"27" "group3" 7 10 8 8
"28" "group2" 10 9 7 7
"29" "group2" 10 10 10 10
"30" "group4" 2 9 8 9
